StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AvgUnitPrice
21733,RED HANGING HEART T-LIGHT HOLDER,17575,50346.49,1760,3.09675404350251
22386,JUMBO BAG PINK POLKADOT,25235,50081.96,1443,2.5595130315500687
22111,SCOTTIE DOG HOT WATER BOTTLE,9776,49771.94,1689,5.734759698899826
21929,JUMBO BAG PINK VINTAGE PAISLEY,25608,49651.99,1619,2.5029736358062538
22189,CREAM HEART CARD HOLDER,16186,49300.94,1299,4.4335582822085895
22469,HEART OF WICKER SMALL,27908,48935.11,2151,1.9215671981776765
15056BL,EDWARDIAN PARASOL BLACK,9620,48723.770000000004,944,6.826558577405859
21843,RED RETROSPOT CAKE STAND,4635,48564.29,1187,12.25677039529016
21731,RED TOADSTOOL LED NIGHT LIGHT,28910,48315.840000000004,1537,2.237496782496782
22457,NATURAL SLATE HEART CHALKBOARD,15373,47288.229999999996,2046,3.5118406993686255
21232,STRAWBERRY CERAMIC TRINKET BOX,36628,47169.35,2310,1.5199447278911564
82494L,WOODEN FRAME ANTIQUE WHITE,15679,46967.09,2059,3.4080162913272645
21754,HOME BUILDING BLOCK WORD,7595,46516.99,2066,6.587843794920939
21181,PLEASE ONE PERSON METAL SIGN,22865,46249.07,1632,2.3605215281989085
22138,BAKING SET 9 PIECE RETROSPOT,9366,45882.01,1914,5.3669730010384225
20727,LUNCH BAG  BLACK SKULL.,26678,45655.27,2351,2.023109908409659
21623,VINTAGE UNION JACK MEMOBOARD,6165,45402.18,530,10.215838041431262
22326,ROUND SNACK BOXES SET OF4 WOODLAND,15380,44063.04,1388,3.4304714285714284
84078A,SET/4 WHITE RETRO STORAGE CUBES,1128,43844.96,328,45.85689024390244
84029E,RED WOOLLY HOTTIE WHITE HEART.,10628,42994.24,1145,4.464668959587274
22197,SMALL POPCORN HOLDER,48561,42699.89,1407,1.039719887955182
21915,RED  HARMONICA IN BOX,36289,42664.54,1025,1.399408341416101
21175,GIN + TONIC DIET METAL SIGN,20178,42613.98,1609,2.5423874151758175
23298,SPOTTY BUNTING,8320,42513.479999999996,1140,5.52396013864818
20728,LUNCH BAG CARS BLUE,24596,42270.3,2067,1.9748732663797226
48138,DOORMAT UNION FLAG,6302,42239.5,991,8.477665995975855
82482,WOODEN PICTURE FRAME WHITE FINISH,16914,41837.6,2006,2.924807502467917
22355,CHARLOTTE BAG SUKI DESIGN,27550,41580.97,1403,1.1773602264685066
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14077,41099.79,757,3.686446173800259
20725,LUNCH BAG RED RETROSPOT,22232,41043.02,1837,2.115301399354144
20713,JUMBO BAG OWLS,20814,40667.05,1314,2.5839698113207543
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,649.5
85066,CREAM SWEETHEART MINI CHEST,3091,38599.98,929,14.095063965884862
20726,LUNCH BAG WOODLAND,22118,38506.74,1926,2.1123128205128205
48194,DOORMAT HEARTS,6026,38428.12,1033,8.787381642512077
22960,JAM MAKING SET WITH JARS,9019,38380.11,1159,5.059025862068966
21166,COOK WITH WINE METAL SIGN,19932,38138.86,1425,2.276118466898955
23284,DOORMAT KEEP CALM AND COME IN,5487,38133.64,728,8.776284153005465
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7483,38108.89,1385,5.83371408045977
22629,SPACEBOY LUNCH BOX,20807,37955.5,1368,2.1693473531544596
22699,ROSES REGENCY TEACUP AND SAUCER,12860,37682.8,1410,3.6217146872803934
20712,JUMBO BAG WOODLAND ANIMALS,17710,37499.37,1415,2.738984593837535
22727,ALARM CLOCK BAKELIKE RED,9234,36543.77,1363,4.37068115942029
22328,ROUND SNACK BOXES SET OF 4 FRUITS,12875,35922.51,1154,3.193215821152193
20685,DOORMAT RED RETROSPOT,5038,35198.96,900,8.841021087680355
21755,LOVE BUILDING BLOCK WORD,5643,34836.020000000004,1696,6.681397786837508
22379,RECYCLING BAG RETROSPOT,15765,34640.84,1570,2.8999178774478835
22197,POPCORN HOLDER,36749,34288.67,803,1.0208363636363635
48185,DOORMAT FAIRY CAKE,5095,34191.53,597,9.783706176961603
22666,RECIPE BOX PANTRY YELLOW DESIGN,10706,33682.62,1657,3.6011011370436865
21523,DOORMAT FANCY FONT HOME SWEET HOME,5075,33466.26,713,9.240645161290322
22630,DOLLY GIRL LUNCH BOX,18058,33380.83,1333,2.3025796886582652
48187,DOORMAT NEW ENGLAND,5291,33203.79,818,8.366121951219512
22382,LUNCH BAG SPACEBOY DESIGN,19604,33049.37,2108,1.9012453007518797
15036,ASSORTED COLOURS SILK FAN,44272,32967.03,991,0.9932560483870967
22726,ALARM CLOCK BAKELIKE GREEN,7671,32609.32,1273,4.472062256809338
22385,JUMBO BAG SPACEBOY DESIGN,17057,32433.5,1248,2.439888800635425
82486,WOOD S/3 CABINET ANT WHITE FINISH,3994,31594.39,1072,8.51200184501845
22139,RETROSPOT TEA SET CERAMIC 11 PC,6168,31527.12,1321,5.660248868778281
22077,6 RIBBONS RUSTIC CHARM,17238,31513.11,1751,2.110567415730337
85152,HAND OVER THE CHOCOLATE   SIGN,16373,31483.7,1460,2.30101902173913
22865,HAND WARMER OWL DESIGN,14537,31416.04,1212,2.3551353503184713
23245,SET OF 3 REGENCY CAKE TINS,6345,31118.55,873,5.883424657534246
21479,WHITE SKULL HOT WATER BOTTLE,6219,31079.8,930,4.686652587117212
23199,JUMBO BAG APPLES,14908,30450.69,978,2.5699290060851925
22501,PICNIC BASKET WICKER LARGE,2612,30339.36,762,13.588451443569554
20725,LUNCH BAG RED SPOTTY,18085,30063.27,1219,1.9613636363636364
20679,EDWARDIAN PARASOL RED,6149,30020.97,715,6.662262569832403
22697,GREEN REGENCY TEACUP AND SAUCER,9621,29952.55,1340,3.7910946745562133
84946,ANTIQUE SILVER TEA GLASS ETCHED,22032,29828.78,1080,1.5512328767123287
22659,LUNCH BOX I LOVE LONDON,15941,29561.86,1074,2.3337192342752964
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6830,29533.87,1009,4.793914728682171
47590B,PINK HAPPY BIRTHDAY BUNTING,5751,29504.36,882,5.793400900900901
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10706,29468.52,883,3.1773913043478266
22622,BOX OF VINTAGE ALPHABET BLOCKS,2945,29450.11,571,11.393466898954703
22158,3 HEARTS HANGING DECORATION RUSTIC,8985,29198.28,718,3.221857923497268
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4878,29003.370000000003,1123,6.514496466431095
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15857,28962.829999999998,880,2.32086809470124
23355,HOT WATER BOTTLE KEEP CALM,5816,28718.8,782,5.271557788944723
20971,PINK BLUE FELT CRAFT TRINKET BOX,22260,28580.97,1148,1.4093723129836628
84978,HANGING HEART JAR T-LIGHT HOLDER,21689,28475.96,1425,1.5126805555555554
22866,HAND WARMER SCOTTY DOG DESIGN,12778,28266.87,1083,2.3251018600531443
22752,SET 7 BABUSHKA NESTING BOXES,3459,28139.45,692,9.46467142857143
22188,BLACK HEART CARD HOLDER,10353,28112.030000000002,566,4.455873015873016
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56061,28081.73,1993,0.7112444444444445
22467,GUMBALL COAT RACK,11868,28059.48,1095,2.8445724572457243
82583,HOT BATHS METAL SIGN,12877,27981.99,1176,2.760100166944908
23201,JUMBO BAG ALPHABET,13366,27850.83,906,2.3900109769484086
21212,PACK OF 72 RETROSPOT CAKE CASES,48156,27770.719999999998,1708,0.7426918671248568
20719,WOODLAND CHARLOTTE BAG,24479,27598.42,1573,1.1526611883691529
47566B,TEA TIME PARTY BUNTING,6013,27564.75,874,5.68005675368899
21930,JUMBO STORAGE BAG SKULLS,13390,27368.08,1321,2.5286163051608077
22624,IVORY KITCHEN SCALES,3152,27282.73,1219,9.3401638001638
72741,GRAND CHOCOLATECANDLE,19712,27239.46,920,1.7381798483206934
22835,HOT WATER BOTTLE I AM SO POORLY,5302,27082.84,1011,5.639597249508841
22492,MINI PAINT SET VINTAGE,42286,27056.19,714,0.7730812324929972
84991,60 TEATIME FAIRY CAKE CASES,54028,27041.21,2127,0.6644378155117027
22961,JAM MAKING SET PRINTED,17252,26888.43,1200,1.8915876974231087
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,9772,26763.75,756,3.2632945736434107
22386,JUMBO BAG PINK WITH WHITE SPOTS,14202,26242.66,802,2.151664611590629
22149,FELTCRAFT 6 FLOWER FRIENDS,12674,26218.97,1382,2.382309879175551
22867,HAND WARMER BIRD DESIGN,11872,26117.63,1054,2.3753406998158377
22551,PLASTERS IN TIN SPACEBOY,15441,25912.87,1299,1.811910197869102
20711,JUMBO BAG TOYS,12643,25719.13,1052,2.726691943127962
21481,FAWN BLUE HOT WATER BOTTLE,8174,25613.45,1050,3.765328947368421
22507,MEMO BOARD RETROSPOT  DESIGN,5455,25603.46,900,5.941274944567628
22090,PAPER BUNTING RETROSPOT,8406,25497.96,920,3.774454054054054
37503,TEA TIME CAKE STAND IN GIFT BOX,2465,25428.33,522,11.723193116634798
21485,RETROSPOT HEART HOT WATER BOTTLE,5168,25408.01,930,5.487621052631579
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12962,25407.27,613,3.001073170731707
22087,PAPER BUNTING WHITE LACE,8475,25389.1,847,3.4823468208092487
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40439,25205.13,1259,0.8276983503534957
22084,PAPER CHAIN KIT EMPIRE,8803,25163.56,811,3.2735200974421437
85099B,JUMBO BAG RED WHITE SPOTTY,14060,25043.62,534,2.1891528545119705
20724,RED RETROSPOT CHARLOTTE BAG,20663,24958.77,1255,1.134728132387707
22090,PAPER BUNTING RETRO SPOTS,8292,24933.94,783,3.557169811320755
23173,REGENCY TEAPOT ROSES,2766,24879.13,416,11.119714964370546
20972,PINK CREAM FELT CRAFT TRINKET BOX,20496,24785.31,1397,1.4045074415308292
48138,DOOR MAT UNION FLAG,3775,24770.81,673,7.380222551928784
21314,SMALL GLASS HEART TRINKET POT,11426,24641.39,1066,2.776856343283582
23203,JUMBO BAG VINTAGE DOILY,11448,24489.08,711,2.300598885793872
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5972,24459.96,835,4.675660377358491
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,106139,24445.61,1019,0.2831213307240704
71459,HANGING JAM JAR T-LIGHT HOLDER,30176,24440.74,925,1.124854368932039
84836,ZINC METAL HEART DECORATION,19847,24289.33,1408,1.3774425087108013
22728,ALARM CLOCK BAKELIKE PINK,6215,24257.31,969,4.525836734693877
47590A,BLUE HAPPY BIRTHDAY BUNTING,4753,24185.03,690,5.7955282199710565
21231,SWEETHEART CERAMIC TRINKET BOX,19428,24128.86,1482,1.4993377483443708
21212,PACK OF 72 RETRO SPOT CAKE CASES,46728,24054.43,1410,0.6659163763066203
22698,PINK REGENCY TEACUP AND SAUCER,8049,23990.62,1024,3.6990485436893206
22383,LUNCH BAG SUKI  DESIGN,14347,23893.29,1279,2.0494919168591226
23344,JUMBO BAG 50'S CHRISTMAS,10285,23772.07,716,2.4177423822714683
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,3141,23709.46,661,9.802632375189107
21790,VINTAGE SNAP CARDS,27244,23506.17,1888,1.008572922111866
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4800,23489.420000000002,470,5.866072186836518
22605,WOODEN CROQUET GARDEN SET,1827,23426.82,642,14.766438569206843
82600,NO SINGING METAL SIGN,11450,23096.77,1152,2.3898446937014666
84406B,CREAM CUPID HEARTS COAT HANGER,7133,23093.95,843,3.7479132473622507
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7964,23040.04,1147,3.2624037639007697
22625,RED KITCHEN SCALES,2627,22911.55,950,9.727957894736841
22607,WOODEN ROUNDERS GARDEN SET,2533,22906.54,744,10.02461847389558
21791,VINTAGE HEADS AND TAILS CARD GAME,17604,22858.6,1313,1.4899774436090225
22554,PLASTERS IN TIN WOODLAND ANIMALS,13588,22853.72,1275,1.8651470588235295
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26817,22578.3,1523,1.155
22556,PLASTERS IN TIN CIRCUS PARADE,13585,22334.08,1196,1.7749835526315791
37449,CERAMIC CAKE STAND + HANGING CAKES,2382,22333.3,477,11.180564853556485
20749,ASSORTED COLOUR MINI CASES,3062,22097.61,766,8.091415584415586
22113,GREY HEART HOT WATER BOTTLE,5759,22025.93,996,4.199551656920078
22585,PACK OF 6 BIRDY GIFT TAGS,17557,21977.3,1084,1.381512455516014
22499,WOODEN UNION JACK BUNTING,3584,21826.52,774,6.621156812339332
23202,JUMBO BAG VINTAGE LEAF,10941,21810.43,879,2.2962302483069976
22941,CHRISTMAS LIGHTS 10 REINDEER,2615,21727.579999999998,483,9.705392561983471
22456,NATURAL SLATE CHALKBOARD LARGE,4416,21583.2,835,6.306929510155317
22969,HOMEMADE JAM SCENTED CANDLES,14461,21501.989999999998,709,1.7717207334273626
21524,DOORMAT SPOTTY HOME SWEET HOME,2817,21414.04,744,8.940872483221476
21213,PACK OF 72 SKULL CAKE CASES,40263,21390.76,1481,0.7410299003322259
21258,VICTORIAN SEWING BOX LARGE,1505,21386.559999999998,526,17.00918406072106
48184,DOORMAT ENGLISH ROSE,3234,21326.3,526,8.513878326996197
22139,RETRO SPOT TEA SET CERAMIC 11 PC,4438,21301.04,771,5.442951030927835
22502,PICNIC BASKET WICKER SMALL,3705,21260.8,922,6.679590958019376
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2685,21201.13,517,9.155689655172415
22083,PAPER CHAIN KIT RETRO SPOT,7579,21151.79,591,3.3923865546218486
22570,FELTCRAFT CUSHION RABBIT,5631,20901.1,807,4.310666666666666
22424,ENAMEL BREAD BIN CREAM,1529,20886.89,739,15.385337837837838
23206,LUNCH BAG APPLE DESIGN,12147,20852.58,1036,2.0589553656220323
21218,RED SPOTTY BISCUIT TIN,5256,20800.31,897,5.261407982261641
22294,HEART FILIGREE DOVE  SMALL,16671,20629.38,861,1.4552125279642059
22617,BAKING SET SPACEBOY DESIGN,4251,20546.99,942,5.301244725738396
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17875,20469.08,350,1.463076923076923
AMAZONFEE,AMAZON FEE,3,20467.8,3,6822.599999999999
20723,STRAWBERRY CHARLOTTE BAG,18296,20401.05,1379,1.1350252343186733
22568,FELTCRAFT CUSHION OWL,5479,20244.97,875,4.161740614334471
85150,LADIES & GENTLEMEN METAL SIGN,8361,20237.72,1110,3.0002421524663676
48188,DOORMAT WELCOME PUPPIES,3414,20209.4,428,8.79626168224299
22273,FELTCRAFT DOLL MOLLY,7355,20150.99,810,3.300158536585366
22569,FELTCRAFT CUSHION BUTTERFLY,5521,20104.43,784,4.187288776796973
21622,VINTAGE UNION JACK CUSHION COVER,3699,19936.940000000002,626,5.8373892405063295
22900,SET 2 TEA TOWELS I LOVE LONDON,6156,19834.04,723,3.684245283018868
22413,METAL SIGN TAKE IT OR LEAVE IT,6976,19728.24,881,3.297567567567568
21174,POTTERING IN THE SHED METAL SIGN,9696,19593.81,1135,2.5139877835951134
21936,RED RETROSPOT PICNIC BAG,6680,19576.72,935,3.633620873269436
22561,WOODEN SCHOOL COLOURING SET,11642,19524.27,904,1.7414208242950107
22558,CLOTHES PEGS RETROSPOT PACK 24,13809,19513.17,1202,1.6692161716171616
22169,FAMILY ALBUM WHITE PICTURE FRAME,2275,19507.6,701,9.794022824536377
22384,LUNCH BAG PINK POLKADOT,11751,19500.66,1281,2.0076021588280644
84946,ANTIQUE SILVER T-LIGHT GLASS,14664,19381.62,689,1.5028468208092487
22427,ENAMEL FLOWER JUG CREAM,3210,19273.280000000002,798,6.529052369077307
22083,PAPER CHAIN KIT RETROSPOT,6137,19261.03,810,3.7808108108108107
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1758,19194.13,419,13.07895238095238
21908,CHOCOLATE THIS WAY METAL SIGN,9678,19125.98,974,2.4602136317395726
22061,LARGE CAKE STAND  HANGING STRAWBERY,2171,19121.37,520,11.222917466410747
84949,SILVER HANGING T-LIGHT HOLDER,11945,19015.8,693,1.8268847795163583
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15810,18744.17,680,1.4420343839541547
22383,LUNCH BAG SUKI DESIGN,10301,18699.43,1084,2.1189745916515426
22041,"RECORD FRAME 7"" SINGLE SIZE",7540,18650.87,555,3.5552499999999996
71053,WHITE METAL LANTERN,4700,18525.22,701,4.430222841225627
22555,PLASTERS IN TIN STRONGMAN,11321,18323.32,956,1.8076210092687948
21484,CHICK GREY HOT WATER BOTTLE,4584,18171.14,864,4.573588571428571
79323W,WHITE CHERRY LIGHTS,3004,18048.72,349,7.03
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4621,18044.97,814,4.762558139534884
22505,MEMO BOARD COTTAGE DESIGN,3773,18034.63,744,5.474500665778962
22147,FELTCRAFT BUTTERFLY HEARTS,12828,17893.579999999998,1132,1.6181639624252775
22560,TRADITIONAL MODELLING CLAY,14836,17861.71,742,1.3711405835543766
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21605,17746.71,653,1.077181818181818
21914,BLUE HARMONICA IN BOX,12957,17725.36,963,1.4485348360655736
22297,HEART IVORY TRELLIS SMALL,13715,17702.62,969,1.6488473205257836
22847,BREAD BIN DINER STYLE IVORY,1112,17669.989999999998,472,17.20938559322034
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17633,17664.18,1145,1.2921874999999998
22633,HAND WARMER UNION JACK,8541,17576.67,858,2.213322222222222
84467,ENGLISH ROSE DESIGN QUILTED THROW,816,17477.66,83,24.040602409638552
21136,PAINTED METAL PEARS ASSORTED,10496,17451.45,739,1.96908969210174
22557,PLASTERS IN TIN VINTAGE PAISLEY,10369,17401.3,1126,1.8292387543252595
23203,JUMBO BAG DOILEY PATTERNS,8893,17268.69,514,2.2405222437137335
84992,72 SWEETHEART FAIRY CAKE CASES,34797,17259.85,1460,0.68719707057257
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8411,17239.69,662,2.683268072289157
21889,WOODEN BOX OF DOMINOES,12805,17095.66,1123,1.5520577933450088
21527,RED RETROSPOT TRADITIONAL TEAPOT,2337,17030.56,570,8.77890625
22654,DELUXE SEWING KIT,2534,16971.27,597,7.357757475083056
48173C,DOORMAT BLACK FLOCK,2898,16937.68,345,8.81985549132948
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6779,16891.44,1038,3.0715939278937383
84997D,CHILDRENS CUTLERY POLKADOT PINK,3951,16865.97,423,5.1186915887850475
22652,TRAVEL SEWING KIT,9910,16794.05,830,1.9061255924170617
22952,60 CAKE CASES VINTAGE CHRISTMAS,27970,16770.31,1039,0.7390534208059981
21164,HOME SWEET HOME METAL SIGN,5981,16626.41,721,3.273665283540802
22993,SET OF 4 PANTRY JELLY MOULDS,12649,16478.48,1073,1.497788990825688
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1699,16409.02,494,10.82219758064516
22487,WHITE WOOD GARDEN PLANT LADDER,1632,16373.699999999999,898,10.688288888888888
21843,RETRO SPOT CAKE STAND,1493,16354.01,340,12.17970588235294
23301,GARDENERS KNEELING PAD KEEP CALM,8807,16327.35,913,1.9439673913043478
35004C,SET OF 3 COLOURED  FLYING DUCKS,3062,16218.1,380,8.083684210526316
22662,LUNCH BAG DOLLY GIRL DESIGN,9951,16213.61,994,1.9189353233830846
22296,HEART IVORY TRELLIS LARGE,9719,16027.56,833,1.8147892271662762
22692,DOORMAT WELCOME TO OUR HOME,2135,15965.95,606,9.478828382838284
21877,HOME SWEET HOME MUG,14054,15954.75,755,1.5780845442536326
22634,CHILDS BREAKFAST SET SPACEBOY,1688,15946.55,499,10.162814371257484
20685,DOOR MAT RED SPOT,2485,15889.75,412,7.833228155339806
22759,SET OF 3 NOTEBOOKS IN PARCEL,9380,15866.56,795,1.9730541871921181
22837,HOT WATER BOTTLE BABUSHKA,3398,15837.18,436,5.311377777777778
22690,DOORMAT HOME SWEET HOME BLUE,2530,15836.35,437,8.210570776255707
23313,VINTAGE CHRISTMAS BUNTING,2990,15798.66,401,5.548627450980392
22635,CHILDS BREAKFAST SET DOLLY GIRL,1660,15795.01,485,10.30381930184805
85014B,RED RETROSPOT UMBRELLA,2732,15791.12,514,7.112587548638133
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4354,15767.15,448,3.944144736842105
84375,SET OF 20 KIDS COOKIE CUTTERS,7575,15753.18,796,2.5122166874221667
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4254,15738.53,500,3.972707509881423
22632,HAND WARMER RED RETROSPOT,7698,15664.13,733,2.218229854689564
22193,RED DINER WALL CLOCK,1850,15658.98,616,9.21775974025974
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2385,15645.27,575,7.42446956521739
22619,SET OF 6 SOLDIER SKITTLES,3992,15560.09,705,4.449551192145863
21891,TRADITIONAL WOODEN SKIPPING ROPE,12142,15547.75,835,1.5365890570430734
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3462,15476.880000000001,421,6.617173396674584
48111,DOORMAT 3 SMILEY CATS,2419,15437.73,436,9.382517162471396
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,5026,15411.9,997,3.7266401590457257
84378,SET OF 3 HEART COOKIE CUTTERS,11637,15388.44,1248,1.5957911392405062
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3759,15354.35,685,4.075775862068965
21094,SET/6 RED SPOTTY PAPER PLATES,19633,15334.029999999999,984,0.988060606060606
22940,FELTCRAFT CHRISTMAS FAIRY,3491,15282.81,586,4.533444816053512
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17144,15275.82,1086,0.9761738351254479
21975,PACK OF 60 DINOSAUR CAKE CASES,31332,15236.619999999999,1303,0.6300827689992475
21165,BEWARE OF THE CAT METAL SIGN,9360,15167.38,966,2.123363821138211
21217,RED RETROSPOT ROUND CAKE TINS,1420,15123.2,465,12.523447537473233
20750,RED RETROSPOT MINI CASES,2066,15118.470000000001,508,8.202882352941177
82582,AREA PATROLLED METAL SIGN,7479,15110.98,796,2.3533042394014965
35970,ZINC FOLKART SLEIGH BELLS,8375,15072.58,692,2.25901269393512
22946,WOODEN ADVENT CALENDAR CREAM,976,15060.57,275,18.37695652173913
22606,WOODEN SKITTLES GARDEN SET,1069,14881.94,374,16.358620689655172
22730,ALARM CLOCK BAKELIKE IVORY,3702,14867.27,746,4.39781041388518
21770,OPEN CLOSED METAL SIGN,2991,14807.3,651,5.4356748466257665
17003,BROCADE RING PURSE,70369,14766.42,456,0.3027272727272727
22485,SET OF 2 WOODEN MARKET CRATES,1101,14677.84,419,14.761428571428572
21912,VINTAGE SNAKES & LADDERS,3734,14651.33,828,4.679349397590362
21217,RED SPOTTY ROUND CAKE TINS,1484,14646.039999999999,463,10.806630669546434
21380,WOODEN HAPPY BIRTHDAY GARLAND,5031,14593.32,651,3.406554878048781
84050,PINK HEART SHAPE EGG FRYING PAN,9853,14525.0,715,2.1541551246537396
22150,3 STRIPEY MICE FELTCRAFT,7815,14486.55,938,2.1962277951933125
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3973,14464.380000000001,478,3.926086956521739
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,11120,14411.13,815,1.59683192261185
22384,LUNCH BAG PINK RETROSPOT,8914,14391.72,810,1.85
22352,LUNCH BOX WITH CUTLERY RETROSPOT,5678,14348.82,886,3.1936036036036035
20748,KENSINGTON COFFEE SET,1600,14266.98,183,12.383224043715847
21169,YOU'RE CONFUSING ME METAL SIGN,8856,14262.61,772,2.130267857142857
21955,DOORMAT UNION JACK GUNS AND ROSES,2349,14236.9,401,8.678539603960397
23200,JUMBO BAG PEARS,7067,14188.960000000001,595,2.4302508361204014
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,10405,14076.34,1114,1.6672395369545858
22627,MINT KITCHEN SCALES,1600,14016.8,653,9.471406727828747
35400,WOODEN BOX ADVENT CALENDAR,1435,13999.1,419,10.473995271867611
23343,JUMBO BAG VINTAGE CHRISTMAS,6078,13972.710000000001,476,2.417366255144033
21257,VICTORIAN SEWING BOX MEDIUM,1549,13968.48,532,10.49658536585366
22236,CAKE STAND 3 TIER MAGIC GARDEN,1127,13965.52,421,13.37624703087886
22271,FELTCRAFT DOLL ROSIE,4866,13921.73,787,3.2711712846347605
21668,RED STRIPE CERAMIC DRAWER KNOB,10357,13912.17,825,1.6418127250900358
22366,DOORMAT AIRMAIL,2085,13875.59,429,9.25925407925408
22295,HEART FILIGREE DOVE LARGE,8411,13873.54,706,1.8310082872928175
21888,BINGO SET,3520,13862.17,825,4.600822249093108
22444,GROW YOUR OWN PLANT IN A CAN,10132,13856.6,453,1.578920704845815
21259,VICTORIAN SEWING BOX SMALL,2293,13843.92,655,6.926051829268292
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10578,13839.18,805,1.5683516483516484
79323P,PINK CHERRY LIGHTS,2281,13787.93,265,7.28390977443609
22621,TRADITIONAL KNITTING NANCY,8726,13784.32,875,1.8153475336322868
22776,SWEETHEART CAKESTAND 3 TIER,1378,13753.38,526,10.917756653992395
22109,FULL ENGLISH BREAKFAST PLATE,3338,13750.11,642,5.133204930662558
47556B,TEA TIME TEA TOWELS,5205,13714.66,453,3.222543859649123
